epoch,test_acc,train_acc,valid_acc
1,0.7598574822419046,0.6823567727070512,0.7752834467390497
2,0.9209817894092176,0.9244422732539639,0.9487528344671202
3,0.9233570863213316,0.9345048229366668,0.9378684807256236
4,0.931987331796995,0.9465214517704229,0.9512471655328798
5,0.9307996833126222,0.9458892496956506,0.944671201814059
6,0.9401425178147268,0.9513060720181311,0.9378684807256236
7,0.9444972288674621,0.9501709819293355,0.9621315192743765
8,0.9411718132376954,0.9623983447880156,0.9600907029478458
9,0.9417260491649782,0.9663160818843151,0.9566893424036281
10,0.9093428346153676,0.9422636665850248,0.9365079365079365
11,0.9446555819949364,0.9675325919338602,0.9600907029478458
12,0.9446555819666206,0.9650468883285388,0.9666666666666667
13,0.9412509898014325,0.9688975736890642,0.9634920634920635
14,0.9380047506882101,0.9625037117924845,0.963718820861678
15,0.940142517833604,0.9652049388392386,0.9580498866213152
