epoch,test_acc,train_acc,valid_acc
1,0.7072050673567106,0.8129831317471459,0.7106575958853135
2,0.8068883611017621,0.9168079542618359,0.8174603174603174
3,0.8406967538741498,0.9535618839656085,0.863718820861678
4,0.8602533651172218,0.9691370441747872,0.8836734691715025
5,0.8673792558252481,0.9728727837006811,0.8943310655163529
6,0.8644497229197813,0.975976321158654,0.890929704728851
7,0.8648456057384669,0.9702002931152967,0.893650793434541
8,0.8762470308599827,0.9767522055231472,0.8975056689612719
9,0.8783847981375168,0.9743670795137791,0.8975056687450192
10,0.8892319874261356,0.9818098221213253,0.9038548753104783
11,0.8851939825905946,0.9793384867381246,0.9052154192578495
12,0.8897862233722955,0.9865800741434871,0.90680272065593
13,0.8673000792143181,0.9761487399063191,0.8861678002102304
14,0.8919239905648825,0.9895399293083135,0.9124716550855139
15,0.8933491687404665,0.9854880887381822,0.9052154189334705
