epoch,test_acc,train_acc,valid_acc
1,0.25526524150267726,0.2633696370808029,0.25124716553287985
2,0.5013460016307242,0.48754274552315624,0.48956916097070086
3,0.596437054631829,0.5909077847681188,0.5877551020399716
4,0.807046714238675,0.8370355470293078,0.8217687070504879
5,0.88828186866129,0.9295094686834465,0.9054421766544957
6,0.903958828224611,0.9489353142434446,0.9222222222492538
7,0.9228028503940489,0.9632748067575972,0.9360544217957391
8,0.9271575614562227,0.9676140119037449,0.9362811788950377
9,0.9358669834389917,0.9720681628782436,0.9419501131354006
10,0.9422802851016995,0.9806891002615018,0.9526077097775985
11,0.947426761772929,0.986062817897066,0.9537414963553552
12,0.9322248615070835,0.9822121325359697,0.9494331065759637
13,0.9453681711157635,0.9839363200091956,0.9544217687345146
14,0.943942992968495,0.9839363200091956,0.9487528344671202
15,0.9485352336652488,0.9893962470185925,0.9612244900662342
