epoch,test_acc,train_acc,valid_acc
1,0.8205067300739878,0.8894795827603332,0.8253968252346359
2,0.8841646873186433,0.9606310526198801,0.9009070290189211
3,0.8970704672077962,0.9717520618442832,0.9197278911564626
4,0.9110847190175846,0.9830167533584071,0.919047619047619
5,0.9007917657034414,0.9796833242334549,0.9183673466954912
6,0.9045922407628239,0.9882467887008247,0.9251700680272109
7,0.9134600159296986,0.9908905428316905,0.9319727891156463
8,0.9019794141878141,0.9852581970780543,0.9058956916099773
9,0.9047505939186139,0.987844478289606,0.9160997732426304
10,0.9106888361988988,0.9880743699565853,0.9303854870147445
11,0.9130641330543814,0.9929308313457283,0.929251700950588
12,0.9031670626155555,0.9908905428316905,0.9294784580498866
13,0.9116389549354288,0.9918388459472746,0.9299319727891157
14,0.9064133017287779,0.9906319147101929,0.927437641723356
15,0.9055423595559852,0.9893675105606483,0.9308390022675737
