epoch,test_acc,train_acc,valid_acc
1,0.8736342042944116,0.8334482791742451,0.8721088438077308
2,0.9258907364364286,0.9333409963927817,0.936734693877551
3,0.9148851940014583,0.9316790712416758,0.9403628117913833
4,0.9168646080948867,0.9156393383031549,0.9235827659533408
5,0.9448139351224106,0.9610860465384717,0.9455782312925171
6,0.9387965162500728,0.9587727616733932,0.9517006802721089
7,0.936579572465433,0.9500272996430402,0.9419501136490006
8,0.9416468725446095,0.9676379589531736,0.9541950113378684
9,0.9488519398730044,0.969869823853506,0.9621315192743765
10,0.9474267616974203,0.9712683314694601,0.9510204081632653
11,0.9507521773743799,0.9678822188417027,0.954875283446712
12,0.952573238340334,0.9765702079601639,0.9650793650793651
13,0.9510688836293285,0.973964769106557,0.9594104308390022
14,0.9524940618049126,0.974568234723385,0.9591836734693877
15,0.9465558195718204,0.9723651062809969,0.9555555555555556
