epoch,test_acc,train_acc,valid_acc
1,0.8410134600347124,0.7758221021699706,0.8287981859680746
2,0.914093428364087,0.9310899738543909,0.9335600907029479
3,0.9163103721487267,0.9299165684917619,0.9446712020843748
4,0.9211401425366919,0.9450654712425769,0.9503401360544218
5,0.9025336501339741,0.9330536318139108,0.9433106575963719
6,0.9489311164367416,0.9605735797051337,0.9528344673904973
7,0.9433095803830893,0.963246070290518,0.9709750566893424
8,0.9407759303718168,0.9629730739394773,0.9643990929705215
9,0.9247822644686,0.958298610117885,0.9571428571428572
10,0.9432304038193522,0.9678439035684403,0.9662131519274376
11,0.9425969913094552,0.9635238560574966,0.9585034013605442
12,0.914726840873984,0.9286665325677638,0.9233560090702948
13,0.9415676960091881,0.9625037117964811,0.9594104308390022
14,0.952019002394174,0.9710671762678474,0.9682539682539683
15,0.9392715756324955,0.964285372189592,0.9566893424036281
