epoch,test_acc,train_acc,valid_acc
1,0.6057798891622493,0.6346159372173091,0.5968253970416495
2,0.7846397467010661,0.8239029857556626,0.7975056687450193
3,0.8352335709007789,0.8890772723628172,0.8609977324263038
4,0.8954869359330534,0.9314060749043377,0.9063492066195222
5,0.9161520190212524,0.9610908359538386,0.9396825396825397
6,0.9229612035781546,0.9662346619292749,0.9326530612244898
7,0.9353919240848846,0.9766659961595916,0.944671201814059
8,0.9293745051653538,0.9733900399505279,0.9383219954648526
9,0.9338875692983705,0.9763211586608356,0.9442176868315457
10,0.9457640538872563,0.9856030345768102,0.9544217689777988
11,0.9375296912302786,0.9778441909353035,0.9448979581564733
12,0.9427553444369294,0.9842236845954889,0.9526077095072826
13,0.9468725257512604,0.9862065001902126,0.9544217689777988
14,0.9342834521170561,0.9805166815206879,0.9460317450045458
15,0.946634996060049,0.9879019512089201,0.9571428571428572
