epoch,test_acc,train_acc,valid_acc
1,0.7833729217284648,0.7242257919277449,0.7836734697661973
2,0.893032462485518,0.8908876691916056,0.9147392285113431
3,0.928345209836771,0.949160416495628,0.9485260770975057
4,0.9422011084907694,0.9512773355601869,0.9582766439909297
5,0.9431512273122465,0.9594528578487357,0.9662131519274376
6,0.9393507522245484,0.9506259758467852,0.9535147382018248
7,0.9314330958225193,0.9630209680434731,0.9505668934240363
8,0.9175771971685208,0.9364780597229238,0.9444444444444444
9,0.9376088678223314,0.9604442656478104,0.9702947845804989
10,0.9398258115786555,0.9647786813877264,0.9507936507936507
11,0.9494061758191644,0.9691945170918175,0.964625850340136
12,0.9501187649211144,0.9727243120092959,0.9662131519274376
13,0.8973079968518146,0.9428096592893902,0.9331065762340347
14,0.9532858274705998,0.9725854191258066,0.9650793650793651
15,0.952019002394174,0.9718047453510851,0.9650793650793651
