epoch,test_acc,train_acc,valid_acc
1,0.7621536026185973,0.6775051007275654,0.7596371883437747
2,0.8824228028692335,0.8954040824973595,0.8913832199546485
3,0.9266825019982913,0.9416075174659624,0.9424036281179138
4,0.9269992083287485,0.9467465540277448,0.9485260770975057
5,0.933808392762949,0.9500129314106425,0.9521541950113379
6,0.9295328582928281,0.9573263599534432,0.9487528344671202
7,0.9341250990178975,0.9595007519378872,0.9505668934240363
8,0.9477434679523689,0.9691514124049011,0.9709750566893424
9,0.945605700759782,0.970952230432645,0.9727891156462585
10,0.9375296912302786,0.968097742277426,0.9653061224489796
11,0.9475851148532103,0.9685575256033913,0.9698412698412698
12,0.9351543943747961,0.9715221701773039,0.964625850340136
13,0.9299287411398295,0.9503242430417969,0.9614512471655329
14,0.9376880444143844,0.9708420740099546,0.962358276643991
15,0.954473475898341,0.9741994501757714,0.9650793650793651
