epoch,test_acc,train_acc,valid_acc
1,0.7683293745712165,0.70131325613433,0.7600907024883089
2,0.9093428346153676,0.9078948628831981,0.926984126984127
3,0.9219319081740632,0.9131009511807545,0.9321995462419765
4,0.9263657957433428,0.9420577219663324,0.9471655328798186
5,0.9349168646552689,0.9510139180324575,0.9494331065759637
6,0.9015043547581985,0.9058737320049352,0.9176870751002478
7,0.9307996833881309,0.9516556989231189,0.9498866215855086
8,0.9489311164650573,0.9652624117631202,0.9607709750566893
9,0.9469517023433133,0.9635669607444128,0.9591836734693877
10,0.9451306414056749,0.9635909077926996,0.9587301587301588
11,0.946159936658749,0.9683132657108655,0.9575963718820861
12,0.9460807601705206,0.9652767799920924,0.9609977324263038
13,0.9114806017890773,0.9477188041887609,0.944671201814059
14,0.946239113269679,0.9629203904406685,0.9582766439909297
15,0.9471892320062089,0.9708133375560071,0.9678004535147392
