epoch,test_acc,train_acc,valid_acc
1,0.5526524149040711,0.570706054759699,0.5414965979906977
2,0.7570071259473679,0.8068622661913301,0.7528344669309603
3,0.8054631828789851,0.8739331590193757,0.8115646256340875
4,0.8488519398352501,0.9098537314427667,0.8517006805424246
5,0.8791765637465724,0.9295669415924837,0.891156462585034
6,0.8828978622705335,0.9386189258449047,0.8961451249868692
7,0.8899445764714541,0.9385039800097023,0.8861678004535147
8,0.8941409343778379,0.9480732205051188,0.9083900229460528
9,0.907046714238675,0.9641656369504417,0.9183673472090914
10,0.9102137767409674,0.9606885255391941,0.9122448982294995
11,0.9148060175132299,0.9711198597729366,0.9312925172771186
12,0.9149643706407041,0.9664070806632374,0.9242630385487528
13,0.9233570863968403,0.9741659243115954,0.9299319727891157
14,0.9240696754421588,0.9740222420218745,0.9321995464852608
15,0.9258907364364286,0.9793959596574388,0.9337868480725624
